Conference,EEIDSession,RandomisationCode,PublicationFound,Journal,Year,DOI
ESA2017,YES,6.4,YES,Emerging Infectious Diseases,2018,10.3201/eid2402.171065
ESA2017,YES,2.2,YES,OIKOS,2018,10.1111/oik.05339
ESA2017,YES,9,NO,NA,NA,NA
ESA2017,YES,3.9,N/A,NA,NA,NA
ESA2017,YES,9.5,YES,Oecologia,2018,10.1007/s00442-018-4206-3
ESA2017,YES,6.8,NO,NA,NA,NA
ESA2017,YES,8.7,YES,Journal of the Royal Society Interface,2017,10.1098/rsif.2017.0115
ESA2017,YES,5.7,YES,PNAS,2017,10.1073/pnas.1617218114
ESA2017,YES,2.7,NO,NA,NA,NA
ESA2017,YES,8.5,NO,NA,NA,NA
ESA2017,YES,1.4,YES,Environmental Pollution,2018,10.1016/j.envpol.2018.01.060
ESA2017,YES,8.4,YES,PLoS ONE,2020,10.1371/journal.pone.0237545
ESA2017,YES,9.2,NO,NA,NA,NA
ESA2017,YES,4.2,YES,Scientific Reports,2018,10.1038/s41598-018-30709-x
ESA2017,YES,8.6,NO,NA,NA,NA
ESA2017,YES,4.8,NO,NA,NA,NA
ESA2017,YES,7,YES,The ISME Journal,2016,10.1038/ismej.2016.152
ESA2017,YES,9.1,YES,Parasites and Vectors,2017,10.1186/s13071-017-2482-0
ESA2017,YES,4.6,NO,NA,NA,NA
ESA2017,YES,8.9,YES,Ecosphere,2018,10.1002/ecs2.2294
ESA2017,YES,5.5,NO,NA,NA,NA
ESA2017,YES,5,NO,NA,NA,NA
ESA2017,YES,9.7,YES,Journal of Animal Ecology,2017,10.1111/1365-2656.12786
ESA2017,YES,1.6,NO,NA,NA,NA
ESA2017,YES,1.8,NO,NA,NA,NA
ESA2017,YES,5.3,YES,Royal Society Open Science,2017,10.1098/rsos.171308
ESA2017,YES,5.2,NO,NA,NA,NA
ESA2017,YES,7.3,NO,NA,NA,NA
ESA2017,YES,6.7,YES,Journal of Animal Ecology,2017,NA
ESA2017,YES,3.3,NO,NA,NA,NA
ESA2017,YES,4.9,YES,Functional Ecology,2019,10.1111/1365-2435.13419
ESA2017,YES,7.4,NO,NA,NA,NA
ESA2017,YES,7.5,YES,Philosophical Transactions of the Royal Society B,2019,10.1098/rstb.2018.0270
ESA2017,YES,3.1,YES,PLoS Neglected Tropical Diseases,2017,10.1371/journal.pntd.0005756
ESA2017,YES,4.4,NO,NA,NA,NA
ESA2017,YES,4.3,NO,NA,NA,NA
ESA2017,YES,9.8,NO,NA,NA,NA
ESA2017,YES,1.9,YES,Environmental Microbiology,2018,10.1111/1462-2920.14347
ESA2017,YES,7.8,YES,Eurosurveillance,2017,10.2807/1560-7917.ES.2017.22.15.30510
ESA2017,YES,9.4,YES,The American Naturalist,2019,10.1086/701126
ESA2017,YES,3.8,YES,Ecology,2018,10.1002/ecy.2551
ESA2017,YES,2.1,YES,Philosophical Transactions of the Royal Society B,2017,10.1098/rstb.2016.0089
ESA2017,YES,3,YES,Journal of Zoo and Wildlife Medicine,2017,10.1638/2017-0024.1
ESA2017,YES,4.7,NO,NA,NA,NA
ESA2017,YES,5.6,YES,bioRxiv,2018,10.1101/195065
ESA2017,YES,3.4,YES,Emerging Infectious Diseases,2017,10.3201/eid2309.161931
ESA2017,YES,3.2,YES,Philosophical Transactions of the Royal Society B,2017,10.1098/rstb.2016.0122
ESA2017,YES,2.9,YES,Acta Tropica,2019,10.1016/j.actatropica.2019.02.022
ESA2017,YES,8.1,YES,Philosophical Transactions of the Royal Society B,2018,10.1098/rstb.2017.0089
ESA2017,YES,7.9,NO,NA,NA,NA
ESA2017,YES,7.7,YES,Ecology Letters,2018,10.1111/ele.12937
ESA2017,YES,6.5,YES,Oecologia,2018,10.1007/s00442-018-4237-9
ESA2017,YES,2,NO,NA,NA,NA
ESA2017,YES,2.4,YES,Ecosphere,2019,10.1002/ecs2.2604
ESA2017,YES,6.3,YES,Parasites and Vectors,2017,10.1186/s13071-016-1938-y
ESA2017,YES,8.2,YES,Conservation Letters,2017,10.1111/conl.12395
ESA2017,YES,2.3,YES,Proceedings of the Royal Society B,2017,10.1098/rspb.2017.1388
ESA2017,YES,2.6,NO,NA,NA,NA
ESA2017,YES,2.8,YES,Ecology Letters ,2018,10.1111/ele.13101
ESA2017,YES,8.3,NO,NA,NA,NA
ESA2017,YES,1.5,NO,NA,NA,NA
ESA2017,YES,7.6,YES,Journal of Animal Ecology,2019,10.1111/1365-2656.13042
ESA2017,YES,3.5,NO,NA,NA,NA
ESA2017,YES,8,YES,bioRxiv,2019,10.1101/816009
ESA2017,YES,6.9,YES,PLoS Computational Biology,2018,10.1371/journal.pcbi.1006161
ESA2017,YES,5.8,NO,NA,NA,NA
ESA2017,YES,6.6,YES ,PLoS ONE,2017,10.1371/journal.pone.0180415
ESA2017,YES,8.8,YES,Ecology Letters,2017,10.1111/ele.12720
ESA2017,YES,4.1,NO,NA,NA,NA
ESA2017,YES,1.3,YES,Proceedings of the Royal Society B,2017,10.1098/rspb.2017.1067
ESA2017,YES,5.9,YES,Nature Ecology and Evolution,2019,10.1038/s41559-019-1032-x
ESA2017,YES,4,YES,Ecology,2017,10.1002/ecy.1706
ESA2017,YES,9.3,NO,NA,NA,NA
ESA2017,YES,9.6,NO,NA,NA,NA
ESA2017,YES,6.1,YES,BMC Public Health,2018,10.1186/s12889-018-5628-x
ESA2017,YES,9.9,NO,NA,NA,NA
ESA2017,YES,3.7,YES,OIKOS,2017,10.1111/oik.04527
ESA2017,YES,5.4,YES,Parasites and Vectors,2015,10.1186/s13071-015-0659-y
ESA2017,YES,3.6,YES,The American Journal of Tropical Medicine and Hygiene,2019,10.4269/ajtmh.19-0220
ESA2017,YES,1.2,YES,Physiology and Behavior ,2018,10.1016/j.physbeh.2018.08.004
ESA2017,NO,10.5,NO,NA,NA,NA
ESA2017,NO,83,YES,Avian Conservation and Ecology,2017,10.5751/ACE-01126-120217
ESA2017,NO,117,NO,NA,NA,NA
ESA2017,NO,141.3,YES,American Journal of Botany,2017,10.3732/ajb.1600293
ESA2017,NO,116,NO,NA,NA,NA
ESA2017,NO,99.9,NO,NA,NA,NA
ESA2017,NO,103.1,YES,Global Change Biology,2016,10.1111/gcb.13160
ESA2017,NO,64.2,YES,Ecology,2019,10.1002/ecy.2688
ESA2017,NO,180.7,YES,Journal of Environmental Studies and Sciences,2016,10.1007/s13412-016-0370-0
ESA2017,NO,32.7,NO,NA,NA,NA
ESA2017,NO,72.1,YES,Journal of Biogeography,2008,10.1111/j.1365-2699.2008.02031.x
ESA2017,NO,165.1,YES,Sustainability,2018,10.3390/su10061936
ESA2017,NO,33,NO,NA,NA,NA
ESA2017,NO,57.6,NA,EEID SESSION,NA,NA
ESA2017,NO,154.8,NO,NA,NA,NA
ESA2017,NO,149.1,YES,Scientific Reports,2019,10.1038/s41598-019-43962-5
ESA2017,NO,146.5,NO,NA,NA,NA
ESA2017,NO,75.7,NO,NA,NA,NA
ESA2017,NO,24.2,YES,Science of the Total Environment,2018,10.1016/j.scitotenv.2018.05.237
ESA2017,NO,143.8,NO,NA,NA,NA
ESA2017,NO,111,NO,NA,NA,NA
ESA2017,NO,8.8,NO,NA,NA,NA
ESA2017,NO,121,NO,NA,NA,NA
ESA2017,NO,151,YES,Molecular Ecology,2020,10.1111/mec.15414
ESA2017,NO,68.5,YES,Ecology Letters,2019,10.1111/ele.13352
ESA2017,NO,146.7,YES,Insect Systematics and Diversity ,2018,10.1093/isd/ixy002
ESA2017,NO,23.7,YES,Journal of Animal Ecology,2016,10.1111/1365-2656.12573
ESA2017,NO,5.2,YES,Theoretical Ecology,2017,10.1007/s12080-017-0340-5
ESA2017,NO,153.3,YES,Proceedings of the Royal Society B,2019,10.1098/rspb.2019.1536
ESA2017,NO,135.1,NO,NA,NA,NA
ESA2017,NO,43.1,NO,NA,NA,NA
ESA2017,NO,76.1,NO,NA,NA,NA
ESA2017,NO,25.1,YES,Agroforestry Systems,2018,10.1007/s10457-017-0087-4
ESA2017,NO,17,YES,Journal of Applied Ecology,2017,10.1111/1365-2664.12846
ESA2017,NO,80.3,NO,NA,NA,NA
ESA2017,NO,154.3,YES,Global Change Biology,2019,10.1111/gcb.14677
ESA2017,NO,79.3,NO,NA,NA,NA
ESA2017,NO,115.7,NO,NA,NA,NA
ESA2017,NO,73.5,YES,Lake and Resevoir Management,2018,10.1080/10402381.2018.1423586
ESA2017,NO,74.3,YES,Journal of Evolutionary Biology,2018,10.1111/jeb.13243
ESA2017,NO,102.9,YES,Ecosystems,2018,10.1007/s10021-017-0139-7
ESA2017,NO,160.3,NO,NA,NA,NA
ESA2017,NO,180.8,NO,NA,NA,NA
ESA2017,NO,73.4,YES,Ecosphere,2017,10.1002/ecs2.1830
ESA2017,NO,163.5,YES,European Journal of Forest Research,2019,10.1007/s10342-019-01203-4
ESA2017,NO,75.3,YES,Journal of Applied Ecology,2020,10.1111/1365-2664.13549
ESA2017,NO,13.5,NO,NA,NA,NA
ESA2017,NO,5.1,NO,NA,NA,NA
ESA2017,NO,119.6,YES,Oecologia,2019,10.1007/s00442-019-04443-8
ESA2017,NO,29.5,YES,Ecology,2018,10.1002/ecy.2434
ESA2017,NO,112.3,YES,International Journal of Wildland Fire,2017,10.1071/WF16223
ESA2017,NO,185.2,NO,NA,NA,NA
ESA2017,NO,10.7,NO,NA,NA,NA
ESA2017,NO,142.5,NO,NA,NA,NA
ESA2017,NO,138.5,NO,NA,NA,NA
ESA2017,NO,102.4,NO,NA,NA,NA
ESA2017,NO,150.3,YES,Global Change Biology,2020,10.1111/gcb.15075
ESA2017,NO,57.4,NA,NA,NA,NA
ESA2017,NO,82.1,NO,NA,NA,NA
ESA2017,NO,168.8,YES,Acta Oecologia,2017,10.1016/j.actao.2017.09.012
ESA2017,NO,89.3,YES,Ecological Indicators,2019,10.1016/j.ecolind.2019.105552
ESA2017,NO,37.8,YES,Nature Communications,2020,10.1038/s41467-020-15688-w
ESA2017,NO,68.4,YES,Ecology and Evolution,2020,10.1002/ece3.6826
ESA2017,NO,157.1,NO,NA,NA,NA
ESA2017,NO,133.7,YES,BioScience,2017,10.1093/biosci/bix117
ESA2017,NO,152.6,YES,Ecology,2018,10.1002/ecy.2196
ESA2017,NO,84,NA,NA,NA,NA
ESA2017,NO,37.2,YES,Nature Ecology and Evolution,2018,10.1038/s41559-018-0517-3
ESA2017,NO,123.7,NO,NA,NA,NA
ESA2017,NO,70.5,YES,Forest Ecology and Management,2020,10.1016/j.foreco.2020.118376
ESA2017,NO,75.5,YES,PloS one,2019,10.1371/journal.pone.0210378
ESA2017,NO,2.2,YES,Forest Science,2020,10.1093/forsci/fxz051
ESA2017,NO,94.7,YES,The ISME Journal,2017,10.1038/ismej.2017.99
ESA2017,NO,170.1,YES,Nature Climate Change,2019,10.1038/s41558-019-0406-z
ESA2017,NO,43.4,NO,NA,NA,NA
ESA2017,NO,105.6,YES,Ecology,2019,10.1002/ecy.2856
ESA2017,NO,136.3,NO,NA,NA,NA
ESA2017,NO,133.2,NO,NA,NA,NA
ESA2017,NO,3.3,NO,NA,NA,NA
ESA2017,NO,129.3,YES,Landscape Ecology,2018,10.1007/s10980-018-0664-6
ESA2017,NO,9.6,YES,Ecology,2017,10.1002/ecy.2094
ESA2017,NO,17.9,YES,Journal of Ecology,2017,10.1111/1365-2745.12800
ESA2017,NO,123,NO,NA,NA,NA
ESA2017,NO,73.3,YES,Lake and Resevoir Management,2019,10.1080/10402381.2019.1576813
ESA2017,NO,7.6,NO,NA,NA,NA
ESA2017,NO,36.1,YES,Journal of Rural Studies,2018,10.1016/j.jrurstud.2018.08.010
ESA2017,NO,182.6,NO,NA,NA,NA
ESA2017,NO,105.9,YES,Ecology Letters,2017,10.1111/ele.12782
ESA2017,NO,164.5,NO,NA,NA,NA
ESA2017,NO,55.7,YES,New Phytologist,2017,10.1111/nph.14121
